Input File,Instruction References (I refs),User Time (s),System Time (s),CPU Usage (%),Elapsed Time (s),Max RSS (KB),Major Page Faults,Minor Page Faults,Voluntary Context Switches,Involuntary Context Switches,File System Inputs,File System Outputs
matrix_input_600.txt,0,8.42,0.18,97.0,8.81,58200,0,11938,5470,94,0,24
matrix_input_610.txt,0,8.97,0.11,97.0,9.35,57464,0,12266,5356,42,0,24
matrix_input_630.txt,0,9.33,0.14,96.0,9.81,57752,0,13360,4192,6,0,24
matrix_input_640.txt,0,9.63,0.17,97.0,10.08,57916,0,14421,5455,4,0,24
matrix_input_660.txt,0,11.57,0.16,97.0,12.0,58228,0,15011,5758,14,0,24
matrix_input_670.txt,0,11.16,0.17,96.0,11.79,56968,0,15209,5177,40,0,24
matrix_input_690.txt,0,12.03,0.18,97.0,12.53,58688,0,15126,9530,8,0,24
matrix_input_70.txt,0,0.43,0.13,93.0,0.6,53956,0,12922,6024,2,0,24
matrix_input_700.txt,0,12.25,0.21,96.0,12.86,58860,0,13636,6647,14,0,24
matrix_input_720.txt,0,12.65,0.21,97.0,13.21,59200,0,13719,8963,13,0,24
matrix_input_730.txt,0,13.98,0.22,96.0,14.73,59352,0,13760,10941,10,0,24
matrix_input_750.txt,0,14.9,0.29,93.0,16.31,61580,0,14824,10333,8,0,24
matrix_input_760.txt,0,13.76,0.17,92.0,15.12,59904,0,13900,9327,18,0,24
matrix_input_780.txt,0,14.88,0.27,96.0,15.76,60268,0,14499,9577,171,0,24
matrix_input_790.txt,0,15.38,0.26,94.0,16.5,60428,1,15049,9196,28,8,24
matrix_input_810.txt,0,17.02,0.36,96.0,18.06,60816,1,15145,12449,11,16,24
matrix_input_820.txt,0,17.74,0.15,96.0,18.49,61012,0,14685,9525,11,0,24
matrix_input_840.txt,0,19.46,0.34,96.0,20.5,61428,0,15298,8861,39,0,24
matrix_input_850.txt,0,19.18,0.21,97.0,19.88,61600,0,15342,9140,26,0,24
matrix_input_870.txt,0,20.25,0.22,97.0,21.0,62012,0,15956,11287,21,0,24
matrix_input_880.txt,0,20.59,0.26,97.0,21.4,64104,0,15970,10992,50,0,24
matrix_input_90.txt,0,0.41,0.08,92.0,0.54,53112,0,12712,4650,17,0,24
matrix_input_900.txt,0,21.99,0.19,97.0,22.67,62668,0,14587,12267,307,0,24
matrix_input_910.txt,0,22.25,0.33,97.0,23.16,62856,0,15655,12717,21,0,24
matrix_input_930.txt,0,23.86,0.33,97.0,24.79,63292,0,16275,10945,229,0,24
matrix_input_940.txt,0,24.5,0.28,97.0,25.45,63568,0,15323,12335,16,0,24
matrix_input_960.txt,0,26.64,0.38,97.0,27.66,63980,0,14916,13272,16,0,24
matrix_input_970.txt,0,26.78,0.34,96.0,27.99,64232,1,16512,13254,19,0,24
matrix_input_990.txt,0,27.21,0.32,96.0,28.46,64644,1,16104,15593,14,24,24
