Input File,Instruction References (I refs),User Time (s),System Time (s),CPU Usage (%),Elapsed Time (s),Max RSS (KB),Major Page Faults,Minor Page Faults,Voluntary Context Switches,Involuntary Context Switches,File System Inputs,File System Outputs
input0.txt,0,0.3,0.07,90.0,0.41,53864,2,10855,911,2,184,24
input1.txt,0,0.29,0.05,76.0,0.45,53864,1,10853,1100,0,24,24
input2.txt,0,0.29,0.09,90.0,0.42,53864,1,10852,2402,2,16,24
input3.txt,0,0.33,0.05,89.0,0.42,53864,0,10853,2182,1,0,24
input4.txt,0,0.27,0.04,82.0,0.39,53864,1,10849,1121,1,40,24
input5.txt,0,0.32,0.04,87.0,0.42,53860,0,10853,2676,2,0,24
matrix_input_10.txt,0,0.36,0.09,87.0,0.52,54892,1,11109,4997,0,40,24
matrix_input_100.txt,0,0.48,0.09,76.0,0.75,55032,0,11148,4706,55,0,24
matrix_input_1000.txt,0,30.98,0.52,97.0,32.45,66812,0,14090,16409,21,0,24
matrix_input_120.txt,0,0.51,0.07,79.0,0.73,54080,1,10908,2762,26,8,24
matrix_input_130.txt,0,0.57,0.14,96.0,0.73,54100,0,10914,2249,1,0,24
matrix_input_150.txt,0,0.64,0.11,92.0,0.82,54172,0,10935,4742,2,0,24
matrix_input_160.txt,0,0.73,0.03,91.0,0.84,54212,1,10939,1821,2,24,24
matrix_input_180.txt,0,0.79,0.1,88.0,1.01,54296,1,10961,4339,4,40,24
matrix_input_190.txt,0,0.89,0.06,92.0,1.03,55340,0,11223,2337,2,0,24
matrix_input_210.txt,0,1.2,0.08,90.0,1.41,55440,0,11248,5873,12,0,24
matrix_input_220.txt,0,1.1,0.04,92.0,1.25,55492,0,11263,1858,2,0,24
matrix_input_240.txt,0,1.4,0.04,93.0,1.55,54592,0,11036,3461,58,0,24
matrix_input_250.txt,0,1.22,0.08,95.0,1.37,55664,0,11307,2665,67,0,24
matrix_input_270.txt,0,1.43,0.08,92.0,1.62,54784,0,11086,1491,3,0,24
matrix_input_280.txt,0,1.47,0.08,95.0,1.63,54856,0,11102,2378,5,0,24
matrix_input_30.txt,0,0.3,0.05,91.0,0.39,54912,0,11116,1415,1,0,24
matrix_input_300.txt,0,1.73,0.04,92.0,1.92,55000,0,11139,958,1,0,24
matrix_input_310.txt,0,2.01,0.1,94.0,2.23,55064,1,11155,3469,2,16,24
matrix_input_330.txt,0,2.34,0.1,90.0,2.71,55212,1,11188,3518,6,16,24
matrix_input_340.txt,0,2.26,0.07,95.0,2.45,56308,1,11465,2143,4,24,24
matrix_input_360.txt,0,2.74,0.03,94.0,2.92,55472,1,11255,1789,0,24,24
matrix_input_370.txt,0,2.71,0.1,95.0,2.97,55544,1,11273,2604,4,16,24
matrix_input_390.txt,0,3.17,0.09,94.0,3.45,56732,0,11574,5273,2,0,24
matrix_input_40.txt,0,0.37,0.06,91.0,0.48,53908,0,10864,4808,41,0,24
matrix_input_400.txt,0,3.33,0.08,95.0,3.58,55832,0,11344,4449,34,0,24
matrix_input_420.txt,0,3.63,0.07,94.0,3.9,56024,0,11394,4371,0,0,24
matrix_input_430.txt,0,3.93,0.13,94.0,4.3,57124,0,11670,5500,2,0,24
matrix_input_450.txt,0,4.18,0.14,96.0,4.49,56324,3,11470,4527,3,8,24
matrix_input_460.txt,0,4.57,0.08,94.0,4.9,56448,0,11498,4596,10,0,24
matrix_input_480.txt,0,5.03,0.09,95.0,5.39,56664,0,11554,3297,3,0,24
matrix_input_490.txt,0,5.22,0.14,90.0,5.92,56772,1,11583,3312,9,32,24
matrix_input_510.txt,0,5.87,0.12,92.0,6.47,57004,0,11642,4632,2,0,24
matrix_input_520.txt,0,5.99,0.08,94.0,6.47,57140,1,11673,4649,42,40,24
matrix_input_540.txt,0,6.42,0.07,96.0,6.72,57384,0,11741,5204,6,0,24
matrix_input_550.txt,0,6.53,0.16,97.0,6.88,58512,0,12017,5240,4,0,24
matrix_input_570.txt,0,7.49,0.21,97.0,7.93,57776,0,11830,6506,52,0,24
matrix_input_580.txt,0,7.87,0.21,97.0,8.29,57916,0,11866,6658,7,0,24
matrix_input_60.txt,0,0.4,0.04,89.0,0.49,54948,0,11125,746,2,0,24
